Text,Label
'गाजा में दीवाली   की ढेरो बधाई मित्रो 😊💐  #IsraeliBombing 😂😂,0
'@SanjayGadhiaINC @IndiaToday18 अज़ाबे इलाही 👍,1
'आखिर अब #सुशांत_सिंह_राजपूत जी को न्याय मिल जायेगा ।। #रिया_चक्रवर्ती  तेरी खेर नही ।। #SushantSinghRajputCase #JusticeforSushantSingRajput,0
'अमीन के 500 से अधिक छात्रों ने सर्वे भवन के गेट पर आधा नंगा होकर किया प्रदर्शन  पप्पू यादव ने बुलंद की\xa0आवाज,0
'@deoriapolice @Uppolice @myogiadityanath @spgrpallahabad @RSSorg कुटाई में कमी नही होनी चाहिए🙏 UP Police ज़िंदाबाद🙌,0
'@khanumarfa जेहादी सोच जब #राहत_इंदौरी को भी लपेट लेगी ! कभी अब्दुल कलाम को ! पर उनकी तरह जीना नहीं आएगा ! #धत्,2
'आज के दिन ही मेरा क्रिकेट प्रेम भी समाप्त हो गया,0
'जेहादी सोच थी उसकी  कोई शायर का काम थोड़ी था.! मनाएं क्यों हम उसका गम ?? वो अब्दुल कलाम थोड़ी था.!! 🙄🙄,2
@Sanatan44005733 @AzadSamajParty0 @Manikar30023885 @BharatiReal @Rkp1501 @IAMNAVINBJP @funnyboons86 @sendi9900 @Ananya_Jatav @vishal_9450 बोल रहा है। ये मुल्ला अपनी मां चुता रहा है।... सब जायज है। इसकी मां का चुस्लाम में,2
'@sambitswaraj एक डरे हुए जेहादी ने गौरव भाटिया जी को कहा ऐसे दो कौड़ी के राष्ट्रीय प्रवक्ताओं को मै ठीक कर देता हूँ जामेयी,2
'@INCIndia देश तो नरेंद्र मोदी बचा लेंगे और करो ना हारेगा भारत जीतेगा इसमें कोई शक नहीं है नरेंद्र मोदी जिंदाबाद,0
'सर्व समाज की एकमात्र भरोसेमंद नेता बहन कुमारी मायावती जी जिन्दाबाद  #बसपा_हमारी_शान,0
@BalvinderJogi @bjp_250 @sambitswaraj अगर कोई जीहादी सुअर सर कलम करने की धमकी दे तो उससे पहले ही उसका सर कलम कर देना चाहिए,2
'@SachinPilot अल्लाह जल्द से जल्द सेहत याब करे आमीन,1
'ENG v PAK 3rd Test  Live Cricket Streaming : जानें कब  कहां और कैसे खेला जाएगा लाइव क्रिकेट मैच,0
"'सुशांत सिंह राजपूत के समर्थन में एक भी शब्द किसी भी "" ख़ान ""  1. सलमान खान 2. शाहरुख खान 3. आमिर खान 4. सैफ अली खान के मुंह से सुना क्या ?",0
'@vinodkapri हमें तो देश के खिलाफ लिखने वाले के मरने पे कोई दुख नहीं  एक जेहादी और कम हुआ,2
'@DK_Dube @ChowkidarHinduu # जेहादी,2
'हर ज़ोर जुल्म की टक्कर मे संघर्ष हमारा नारा है।   छात्र एकता जिन्दाबाद इंकलाब जिन्दाबाद,0
'@Ayesha0786786 खुदा हाफिज,1
'@ThePushpendra_ जहाँ दिखे जिहादी  वही उसकी कब्र बनवा दी,2
'@iamprincekarn @RahulKu78506845 @DainikBhaskar कोई बात नहीं है लड़की आतंकवादी या लड़की जिहादी का नाम रख लेंगी ।,2
"#GodMorningTuesday वर्तमान में सर्व मुसलमान श्रद्धालु 🎅माँस खा रहे हैं। परन्तु नबी मुहम्मद जी ने कभी माँस 🍖🍖नहीं खाया तथा न ही उनके सीधे अनुयाईयों👨‍👨‍👦‍👦👨‍👨‍👦‍👦 (एक लाख अस्सी हजार) ने माँस खाया।
केवल रोजा व बंग तथा नमाज किया करते थे। गाय 🐄आदि को बिस्मिल(हत्या) नहीं ❎❎ करते थे।",1
'सुशांत सिंह राजपूत की मौत के पीछे अंडरवर्ल्ड का हाथ- रॉ के पूर्व अधिकारी का दावा,0
'या अल्लाह गजा के मुसलमानों पर रहम फरमा। 😢😢😭 और सबर करने की तोफिक दे 😢 🥀🌹आमीन 🥀🌹 #saportgaza,1
'@apna_time_aayeg @MateenAzhari5 अल्लाहुम्मा अमीन,1
'आलम-ए-इस्लाम* को मेरी तरफ से इस्लामिक नया साल 1442 हिजरी मुबारक हो #islamicnewyear1442Hijri,1
"'@007AliSohrab आलम-ए-इस्लाम को इस्लामिक नया साल ""1442 हिज़री"" मुबारक हो!  IslamicNewYear1442",1
'माशा अल्लाह  मोबाराक हो मोबारक हो #डॉक्टर कफील खान अभी अभी जेल से बाहर आ चुके हैं।,1
'जब इश्क और क्रांति☀️ का अंजाम एक ही होता है तो रांझा बनने से अच्छा है कि भगत सिंह 🇮🇳बन जाओ इंकलाब जिंदाबाद🇮🇳🖊️,0
'@AISO_INDIA आईएसओ एकता जिंदाबाद,0
'भारतीय जनता पार्टी जिंदाबाद ज़िंदाबाद!!,0
